candidate_id,myneta_url,candidate,constituency_id,constituency,age,party_code,criminal_cases_flag,education_level,movable_assets,movable_assets_rs,movable_assets_img,immovable_assets,immovable_assets_rs,immovable_assets_img,total_assets,total_assets_rs,total_assets_img,liabilities,liabilities_rs,liabilities_img,pan_given,serious_ipc_counts
4027,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=4027,Vignesh. R,4,VELACHERY,31,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1975,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1975,A. Rajaram,5,PERAMBUR,51,Republican Party of India (Athawale),No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1978,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1978,Agni Aalvar,5,PERAMBUR,45,IND,No,10th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1979,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1979,Amala.R,5,PERAMBUR,58,IND,No,8th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1967,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1967,Ashlin Belmen .A.S,5,PERAMBUR,29,Tamilnadu Mahatma Gandhi Makkal Katchi,Yes 3,Others,,,1,"39,00,000 ~ 39 Lacs+",3900000,,,,1,"4,00,000 ~ 4 Lacs+",400000,,Y,0
1980,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1980,Azarutheen.M,5,PERAMBUR,37,IND,No,Graduate Professional,,,1,"21,00,000 ~ 21 Lacs+",2100000,,,,1,"4,00,000 ~ 4 Lacs+",400000,,Y,0
1992,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1992,B. Balaji,5,PERAMBUR,37,IND,No,12th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1985,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1985,B. Sathish Kumar,5,PERAMBUR,42,IND,No,Graduate Professional,,,1,"38,86,000 ~ 38 Lacs+",3886000,,,,1,0 ~,0,,Y,0
2005,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2005,B. Venkatesan,5,PERAMBUR,47,IND,No,Post Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1994,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=1994,Bowdharaj,5,PERAMBUR,53,IND,No,5th Pass,,,1,0 ~,0,,,,1,"26,10,000 ~ 26 Lacs+",2610000,,N,0
124,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=124,C. Joseph Vijay,5,PERAMBUR,51,Tamilaga Vettri Kazhagam,Yes 2,12th Pass,,,1,"2,22,65,62,010 ~ 222 Crore+",2226562010,,,,1,"7,63,60,016 ~ 7 Crore+",76360016,,Y,0
1977,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1977,D.V. Venugopal,5,PERAMBUR,55,Tamizhaga Vaazhvurimai Katchi,Yes 3,10th Pass,,,1,"1,43,93,500 ~ 1 Crore+",14393500,,,,1,0 ~,0,,Y,0
1995,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1995,Dr.D. Madan,5,PERAMBUR,28,IND,No,Post Graduate,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1996,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1996,Dr.G. Moorthy,5,PERAMBUR,46,IND,No,Doctorate,,,1,"1,93,90,500 ~ 1 Crore+",19390500,,,,1,"45,58,024 ~ 45 Lacs+",4558024,,Y,0
1969,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1969,Dr.R. Saravana Perumal,5,PERAMBUR,52,Makkal Nalvaazhvuk Katchi,No,Doctorate,,,1,"75,00,000 ~ 75 Lacs+",7500000,,,,1,0 ~,0,,Y,0
1982,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1982,E. Udhaya Kumar,5,PERAMBUR,56,IND,No,5th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
2002,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=2002,G. Ruthra Kumar,5,PERAMBUR,33,IND,No,Graduate Professional,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1989,https://myneta.info/TamilNadu2026/candidate.php?candidate_id=1989,H. Dhanasekar,5,PERAMBUR,43,IND,No,10th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
1972,http://myneta.info/TamilNadu2026/candidate.php?candidate_id=1972,J. Sebastin,5,PERAMBUR,49,SUCI(C),No,10th Pass,,,1,0 ~,0,,,,1,0 ~,0,,Y,0
