candidate,party,criminal_cases,education,age,total_assets,liabilities,2021_constituency,2021_district,myneta_url,total_assets_rs,liabilities_rs,sitting_MLA,bye_election
S.Pandiyarajan,IND,0,Graduate Professional,30,"Rs 22,093 ~ 22 Thou+","Rs 1,82,000 ~ 1 Lacs+",POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2562,22093,182000,0,0
S.Pavunraj,AIADMK,0,10th Pass,64,"Rs 6,09,56,621 ~ 6 Crore+","Rs 1,42,03,145 ~ 1 Crore+",POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=193,60956621,14203145,0,0
S.Senthamizhan,Amma Makkal Munnettra Kazagam,2,12th Pass,41,,,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2559,,,0,0
T.Ilanchezhian,BSP,1,Graduate,45,"Rs 34,50,000 ~ 34 Lacs+",Rs 0 ~,POOMPUHAR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1986,3450000,0,0,0
J. Mohamed Shanavas,Viduthalai Chiruthaigal Katchi,1,12th Pass,39,"Rs 27,85,391 ~ 27 Lacs+",Rs 0 ~,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1894,2785391,0,1,0
C.Manjula,Amma Makkal Munnettra Kazagam,0,10th Pass,48,"Rs 4,47,18,495 ~ 4 Crore+","Rs 7,60,699 ~ 7 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1895,44718495,760699,0,0
J.V. Durai,Makkalatchi Katchi,0,Others,43,,,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1898,,,0,0
Mayilarasi,Naadaalum Makkal Katchi,0,12th Pass,36,"Rs 36,07,200 ~ 36 Lacs+","Rs 7,75,000 ~ 7 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1899,3607200,775000,0,0
S. Prem,IND,0,8th Pass,39,"Rs 39,743 ~ 39 Thou+",Rs 0 ~,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2566,39743,0,0,0
S.Augustine Arputharaj,Naam Tamilar Katchi,0,Others,40,,,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=556,,,0,0
Syed Anas Mohideen Sahip,Makkal Needhi Maiam,0,Graduate Professional,29,"Rs 1,03,97,940 ~ 1 Crore+","Rs 3,93,842 ~ 3 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1896,10397940,393842,0,0
T. Singaravadivelan,SHS,0,Others,41,"Rs 21,82,116 ~ 21 Lacs+","Rs 1,30,000 ~ 1 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1897,2182116,130000,0,0
Thanka.Kathiravan,AIADMK,0,Post Graduate,51,,,NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=557,,,0,0
V. Canagaradjou,IND,0,12th Pass,45,"Rs 38,84,000 ~ 38 Lacs+","Rs 12,00,000 ~ 12 Lacs+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2564,3884000,1200000,0,0
V. Manikandan,IND,0,Post Graduate,29,"Rs 78,500 ~ 78 Thou+","Rs 50,000 ~ 50 Thou+",NAGAPATTINAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2567,78500,50000,0,0
Nagaimaali V P,CPI(M),0,Graduate Professional,65,"Rs 19,38,170 ~ 19 Lacs+","Rs 12,21,050 ~ 12 Lacs+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1282,1938170,1221050,1,0
Kalaiselvan G,IND,0,8th Pass,43,"Rs 4,21,000 ~ 4 Lacs+",Rs 0 ~,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1284,421000,0,0,0
Maruthaiyan G,IND,0,5th Pass,73,"Rs 12,83,800 ~ 12 Lacs+","Rs 2,40,000 ~ 2 Lacs+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2571,1283800,240000,0,0
Muthalagan S,Puthiya Tamilagam,0,Others,63,,,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1283,,,0,0
Neethimohan M,Amma Makkal Munnettra Kazagam,0,Post Graduate,66,"Rs 3,81,77,309 ~ 3 Crore+","Rs 58,59,544 ~ 58 Lacs+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2569,38177309,5859544,0,0
Ponelavazhaki S,Naam Tamilar Katchi,0,Post Graduate,34,,,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=498,,,0,0
Sidhu G,Makkal Needhi Maiam,0,Graduate Professional,33,"Rs 74,94,690 ~ 74 Lacs+","Rs 1,83,90,894 ~ 1 Crore+",KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1281,7494690,18390894,0,0
Tamilarasan U,BSP,0,12th Pass,44,"Rs 82,000 ~ 82 Thou+",Rs 0 ~,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2568,82000,0,0,0
Vadivel Ravanan S,Pattali Makkal Katchi,0,10th Pass,69,,,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2570,,,0,0
Vedha Mukundhan,IND,0,Post Graduate,46,"Rs 29,56,242 ~ 29 Lacs+",Rs 0 ~,KILVELUR,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=1857,2956242,0,0,0
O.S.Manian,AIADMK,0,Others,66,,,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=136,,,1,0
K.Rajendran,Naam Tamilar Katchi,1,Others,46,"Rs 80,05,694 ~ 80 Lacs+","Rs 24,12,460 ~ 24 Lacs+",VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=339,8005694,2412460,0,0
Mohamed Ali,Makkal Needhi Maiam,0,Post Graduate,44,"Rs 62,41,446 ~ 62 Lacs+",Rs 0 ~,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2582,6241446,0,0,0
P.S.Arumugam,Amma Makkal Munnettra Kazagam,1,10th Pass,55,"Rs 57,03,535 ~ 57 Lacs+","Rs 8,00,000 ~ 8 Lacs+",VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2581,5703535,800000,0,0
P.V.Theenathayalan,IND,0,Others,44,"Rs 1,40,94,582 ~ 1 Crore+","Rs 1,62,34,234 ~ 1 Crore+",VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2586,14094582,16234234,0,0
R.Kathirvel,IND,2,5th Pass,45,,,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2585,,,0,0
R.Panneerselvam,BSP,0,5th Pass,58,"Rs 26,42,500 ~ 26 Lacs+",Rs 0 ~,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2095,2642500,0,0,0
R.Ramamurthy,IND,0,Graduate,66,"Rs 26,56,945 ~ 26 Lacs+",Rs 0 ~,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2583,2656945,0,0,0
S.K.Vetharathinam,DMK,3,10th Pass,62,,,VEDHARANYAM,NAGAPATTINAM,https://www.myneta.info/TamilNadu2021/candidate.php?candidate_id=2097,,,0,0
